Id,SalePrice
1461,134089.04754342677
1462,169735.8480509753
1463,196229.25337559337
1464,205411.10127524514
1465,202223.30076584313
1466,175032.65188215766
1467,179167.309462527
1468,168538.18218512437
1469,192525.14862409217
1470,127577.06711530604
1471,187342.1690056771
1472,103423.8211332474
1473,103170.07665813567
1474,149819.8258664841
1475,112798.94532512268
1476,354843.5396394668
1477,246935.73571870883
1478,304226.479569262
1479,293651.8009913281
1480,505467.2115400991
1481,340279.962551677
1482,224808.85781951871
1483,182272.30017630005
1484,164910.2276587179
1485,202174.11548516338
1486,197262.521945989
1487,343371.7051236258
1488,245909.42673641333
1489,196762.8901975435
1490,259893.31991108056
1491,201090.6974062588
1492,101448.80168870896
1493,194112.4798530068
1494,295441.58665451466
1495,289315.2999709357
1496,242108.64034158358
1497,189854.07494063297
1498,189199.37924252477
1499,172687.43763596402
1500,167612.1304836092
1501,184752.08420687736
1502,151754.5195086415
1503,274006.0495990252
1504,248519.228193082
1505,231153.61197117693
1506,194027.55657674655
1507,246816.70116498088
1508,224666.17960162385
1509,158889.00770711323
1510,148810.07834314727
1511,160747.31558585577
1512,176866.72135284342
1513,156766.136863357
1514,155357.55834060963
1515,199015.6998547118
1516,150468.83343300546
1517,167548.09669510642
1518,137412.64825427523
1519,209818.4001520179
1520,135091.37094924922
1521,140219.0165098592
1522,183534.55874502426
1523,119529.3639817891
1524,134609.64533402704
1525,123496.44047229632
1526,116230.09444968883
1527,116442.85845590135
1528,134972.2191233322
1529,163738.28906611598
1530,195933.07120993268
1531,116680.51282510156
1532,103653.86869523177
1533,145968.54755510626
1534,131588.0673850112
1535,160956.33659075285
1536,115311.63157174374
1537,78335.11618369847
1538,153114.65517145407
1539,198465.9243362414
1540,90916.07377618852
1541,146279.7801110894
1542,155491.84329662938
1543,194009.08110779314
1544,93860.18585062365
1545,118795.48072758917
1546,145275.99714614564
1547,146234.28954453635
1548,146983.4541398666
1549,126826.48748888184
1550,145227.41545507475
1551,109844.16411401288
1552,148166.996849156
1553,150833.95103246623
1554,117252.79302521131
1555,180631.78088326822
1556,87028.38041079379
1557,109575.60544700234
1558,105632.25239424875
1559,86761.62599031294
1560,136976.5838010314
1561,121263.96082415307
1562,137580.79935707015
1563,128278.21029325087
1564,170012.448563756
1565,168052.36122586054
1566,242533.552852112
1567,82797.688338127
1568,256512.0277481822
1569,148939.2037510888
1570,145812.16938551975
1571,126519.38313978529
1572,144688.63824150257
1573,219868.11327045638
1574,118733.01010031183
1575,239339.83543717454
1576,233868.47746073577
1577,184795.56864605038
1578,142304.5153739233
1579,158988.9295639552
1580,202046.69156284977
1581,165272.2904339529
1582,129768.28825437003
1583,281256.7510671897
1584,227115.92302210798
1585,133752.1696620785
1586,72707.72546744456
1587,115054.56209665729
1588,160785.01757422477
1589,101415.27617744895
1590,132423.72823492307
1591,100361.94178573768
1592,124661.33585176605
1593,128655.56322993923
1594,137866.47544665245
1595,125847.06954160286
1596,237151.41241874246
1597,191734.56711345472
1598,230821.0900478506
1599,169948.94436287088
1600,170742.19243949268
1601,76469.96661489269
1602,127028.41031823802
1603,79051.00627439986
1604,274249.7832478238
1605,235824.85762557524
1606,171253.59572505316
1607,176172.62361480392
1608,213149.84952482657
1609,179589.24071644215
1610,158116.30166400765
1611,142335.9388006611
1612,178890.40355982244
1613,175433.8674542007
1614,133460.10150299245
1615,98443.10623841334
1616,84814.26353407028
1617,100633.3635093875
1618,142773.4441322334
1619,145206.0420954301
1620,157336.08956267708
1621,139222.6417291616
1622,150167.73513293528
1623,266076.2218907278
1624,218382.24994102423
1625,118775.14319032374
1626,176178.0635776688
1627,203797.16456599353
1628,279687.78436780017
1629,190968.9041953281
